epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.381,1.75712,3.60236,1.79327,0.87608,0.02187,0.05342,0.02541,1.76654,4.19051,2.0181,0.000408497,0.000408497,0.000408497
2,38.764,1.70859,2.94267,1.69437,0.84208,0.07812,0.07489,0.03181,2.00269,3.67889,2.36143,0.000808825,0.000808825,0.000808825
3,56.0423,1.76695,2.9657,1.77392,0.55732,0.10221,0.06113,0.02419,2.14187,3.81654,2.34845,0.00119265,0.00119265,0.00119265
4,73.3626,1.81218,2.85538,1.789,0.55876,0.06625,0.0665,0.02846,2.07043,6.35269,2.56124,0.00117575,0.00117575,0.00117575
5,90.5581,1.87239,2.92204,1.8106,0.3705,0.09771,0.07405,0.02806,2.21317,5.5255,2.39195,0.001151,0.001151,0.001151
6,107.768,1.81316,2.67433,1.70918,0.37651,0.20386,0.11874,0.05188,2.04385,3.13684,2.32992,0.00112625,0.00112625,0.00112625
7,125.284,1.78845,2.6436,1.7659,0.60102,0.25772,0.12422,0.05518,1.97868,7.58381,2.35325,0.0011015,0.0011015,0.0011015
8,142.503,1.77687,2.55972,1.76976,0.28446,0.19085,0.16819,0.07222,1.94525,3.12193,2.21376,0.00107675,0.00107675,0.00107675
9,159.797,1.74687,2.52298,1.74789,0.28734,0.20603,0.18113,0.07666,1.90203,2.92131,2.12071,0.001052,0.001052,0.001052
10,181.027,1.71338,2.39693,1.68768,0.21776,0.22198,0.18883,0.08627,1.98134,2.98521,2.12399,0.00102725,0.00102725,0.00102725
11,198.737,1.69573,2.2924,1.6257,0.29355,0.29065,0.23562,0.09695,1.8672,2.7881,2.07863,0.0010025,0.0010025,0.0010025
12,216.435,1.62518,2.28147,1.66281,0.21465,0.28526,0.20702,0.09053,1.84362,2.578,2.07999,0.00097775,0.00097775,0.00097775
13,234.169,1.63534,2.18285,1.66368,0.19992,0.37087,0.25318,0.11775,1.85852,3.04285,2.10945,0.000953,0.000953,0.000953
14,252.103,1.60873,2.12002,1.6168,0.55944,0.38775,0.38886,0.1787,1.65679,2.23193,1.89229,0.00092825,0.00092825,0.00092825
15,269.914,1.66615,2.08988,1.59692,0.24255,0.31747,0.25794,0.11696,1.84305,2.4152,2.06429,0.0009035,0.0009035,0.0009035
16,287.229,1.62839,2.1262,1.5922,0.5664,0.29261,0.30943,0.15078,1.6632,2.27389,1.87605,0.00087875,0.00087875,0.00087875
17,304.671,1.53803,2.09427,1.59966,0.6118,0.28604,0.30886,0.15458,1.61263,2.61996,1.84437,0.000854,0.000854,0.000854
18,322.263,1.56431,1.96561,1.57197,0.36656,0.31795,0.35022,0.17414,1.69674,2.27172,1.91381,0.00082925,0.00082925,0.00082925
19,339.833,1.53869,2.01512,1.58144,0.47051,0.34036,0.38022,0.20298,1.5673,2.18407,1.79338,0.0008045,0.0008045,0.0008045
20,357.452,1.52553,1.98937,1.54739,0.78855,0.38151,0.45931,0.22468,1.57244,1.96425,1.81938,0.00077975,0.00077975,0.00077975
21,375.075,1.47869,1.91534,1.57857,0.68019,0.40034,0.42365,0.1972,1.62591,2.03437,1.82341,0.000755,0.000755,0.000755
22,392.398,1.4952,1.7896,1.55435,0.4722,0.32671,0.4174,0.21608,1.57394,2.0016,1.78928,0.00073025,0.00073025,0.00073025
23,410.042,1.53332,1.84796,1.57036,0.56616,0.41412,0.44331,0.24399,1.57491,1.86963,1.78072,0.0007055,0.0007055,0.0007055
24,427.682,1.43949,1.75843,1.5403,0.84392,0.31382,0.44279,0.23512,1.5848,1.94397,1.82176,0.00068075,0.00068075,0.00068075
25,446.472,1.42211,1.66324,1.49736,0.71788,0.31475,0.37883,0.20185,1.6412,1.97259,1.88963,0.000656,0.000656,0.000656
26,464.562,1.41111,1.74605,1.49207,0.49139,0.48833,0.48004,0.26201,1.50882,1.83284,1.81312,0.00063125,0.00063125,0.00063125
27,482.088,1.39631,1.70535,1.44849,0.67722,0.38354,0.42439,0.22699,1.55759,1.94919,1.83669,0.0006065,0.0006065,0.0006065
28,500.026,1.3605,1.68585,1.4703,0.56587,0.35401,0.42496,0.21919,1.61681,1.91466,1.87475,0.00058175,0.00058175,0.00058175
29,517.463,1.43121,1.67326,1.51382,0.56987,0.41601,0.44857,0.22977,1.54846,2.27895,1.79574,0.000557,0.000557,0.000557
30,535.039,1.3732,1.59192,1.47289,0.55549,0.46685,0.4683,0.25435,1.56335,1.84152,1.80157,0.00053225,0.00053225,0.00053225
31,552.568,1.41616,1.60738,1.46132,0.72613,0.38911,0.46706,0.25598,1.55079,1.89742,1.75625,0.0005075,0.0005075,0.0005075
32,570.344,1.40838,1.58734,1.44895,0.48903,0.48027,0.47882,0.27641,1.46397,1.71388,1.67775,0.00048275,0.00048275,0.00048275
